tweet_id	tweet_text	class_label
920352459297558529	California wildfire hero dodged debris with disabledÂ roommate https://t.co/9rFTxP3oXv https://t.co/3NJmwfhc2o	affected_individuals
909421137590915073	I survived hurricane Irma. My god is MERCIFUL. https://t.co/T1GFGiuVyX	affected_individuals
921875031533203457	Yet Puerto Rico doesn't even have clean water yet https://t.co/18a6kiWE5J	affected_individuals
919655873001136128	Roommates run for lives as California wildfires engulf them:Â video https://t.co/U0iDuRFtJo https://t.co/6TZQRYy3OB	affected_individuals
913419277830520833	For many of the survivors of Mexico's earthquake, the difficulties are only just beginning https://t.co/5yePjjlMdF https://t.co/06MxpnqZqh	affected_individuals
905255756026363904	Ravaged by Harvey, Houston Dreamers fear deportation https://t.co/hCsfeC8qcM https://t.co/CcVcAIJWaR	affected_individuals
921617294945525760	California residents during the emotional return to their wildfire-ravaged neighborhoods: https://t.co/yWYipJ8iPf https://t.co/kWBIu8V0wy	affected_individuals
904556415527813120	Public Officials Warn Texans of Health Threats in Harveyâ€™s Wake https://t.co/puoOnw86gb https://t.co/Yv3tTn5J0B	affected_individuals
930002146593869824	RT @PressTV: Dozens rushed to hospitals in #Kermanshah after strong #earthquake hit western #Iran https://t.co/frRl7FfhQO	affected_individuals
907657079187374080	Harvey evacuees seeking apartments have another resource https://t.co/ApIeDcZFVw https://t.co/32o7L1hl9R	affected_individuals
906989054117511168	RT @969thegame: VIDEO: Tornado rips up mobile home park in Palm Bay https://t.co/sgZ8vqTiUV https://t.co/smw9gm6mFI	infrastructure_and_utility_damage
910126834498592768	#SummerlandKey (map dot 2) #Irma #coastal damage before/after air photos. Arrow marks reference point‚Ä¶ https://t.co/ihSN1cCe6g	infrastructure_and_utility_damage
908019661543002112	Houston home sales plunged 25 percent in August as Harvey approached https://t.co/0SiihFEyLD https://t.co/CSZ8pvmWm3	infrastructure_and_utility_damage
906983382290194433	A tornado spawned by #HurricaneIrma Piece turned a piece of roof into a spear in Palm Bay #FOX35 https://t.co/Q9pkZ69KDY	infrastructure_and_utility_damage
930401945516462080	@statedeptspox My house wall after earthquake location Iraq Kirkuk https://t.co/PAtqunxZPV	infrastructure_and_utility_damage
907340946542657536	RT @SButlerWFTV: Picture of tornado taken by people in the mims area that destroyed several homes. #wftv https://t.co/RV4MdvBrm2	infrastructure_and_utility_damage
917944403481714688	Vintners inspect grapes, check buildings after California wildfires https://t.co/LapqoKhYbh https://t.co/dph5ng43X4	infrastructure_and_utility_damage
909758147560181760	Red Fish Grill's Fate Uncertain After Hurricane Irma Damage https://t.co/tVtpEhFDBm https://t.co/kbLwHkU6IC	infrastructure_and_utility_damage
909683984841441280	Hurricane Irma #Spared real estate #Market big damage, caused minor construction, closing delays… https://t.co/XZpiks7gBk	infrastructure_and_utility_damage
910234928037728256	Back when Irma hit. Tree broke halfway up and blocked our driveway. Got it cleaned up now at least https://t.co/nuqTek3f8b	infrastructure_and_utility_damage
919985668692103169	Contract firefighter killed near Napa County wildfire in California https://t.co/YVMaJrAiCs #fire https://t.co/DcYR0Tzmae	injured_or_dead_people
901771298937982976	UPDATE: 2 dead from effects of Harvey; thousands trapped in climbing floodwaters https://t.co/TcWozUdLMt https://t.co/teFbEqrOXQ	injured_or_dead_people
