tweet_id	tweet_text	class_label
915215372604858368	Family members waiting to reunite w/ loved ones evacuating in aftermath of Hurricane Maria via @RoyalCaribbean @wsvn https://t.co/XaVz9dXTFp	informative
910253209180020736	Red Cross event to benefit victims of Hurricanes Harvey and Irma https://t.co/XYPnBZf9bR #chicago https://t.co/vf2Kf8i91r	informative
905922415980630016	Girl Scout Troop 17606 @RAEinKaty supporting Harvey relief efforts and #raeinkaty community Ὁ7 #texasstrong https://t.co/XfkhXiPj6n	informative
904997956486496258	Fossil fuel didnt cause Hurricane Harvey Its saving lives (video) https://t.co/k3CNjDRTCQ https://t.co/fgbFoABPCn	informative
914663754117386240	@JLo Just 1 pic of the damage done to my optometry school by hurricane Maria in .... https://t.co/yiZIrXvR1g https://t.co/BvMsCCU5eN	informative
911620469513695232	RT @BumblePR: Help #BuildPuertoRico by supporting the Hurricane Maria Relief Fund https://t.co/DyHJ5XYXj0 https://t.co/kTplpz8fzZ	informative
905185045685559297	What They Saved: Texans Reflect on Treasures Plucked From Harvey #HurricaneHarvey2017 #Floods https://t.co/mgITSb0RDN	informative
909747693160943616	Irma packed a punch https://t.co/oq60Sxsq2O	informative
909483252855042049	RT @WLOS_13: Hurricane puppies: Miami dogs evacuate to Myrtle Beach after Irma https://t.co/NqOrmgUWKU https://t.co/8ADjfMR7nu	informative
905548405606363137	RT @BrettMcWx: I tweeted a Harvey comparison to Iowa, now here's how Irma's size compares to our region. #iawx https://t.co/7dwDCq56X1	informative
910610665169051648	Hurricane Maria now a strong Category 2. Latest track has it steering east of Florida, Georgia &amp; South Carolina. https://t.co/2dqbC3WIXn	informative
912341945430798336	11am #Maria update: tropical storm force winds extend out 230 miles from the center @FOX5Atlanta #fox5atl https://t.co/asvmDp10RM	informative
901705360083369984	Harvey: Too poor to flee the hurricane https://t.co/SD9X1MyjLh https://t.co/PYUyHoZ4Yz	informative
909960700474347520	Trump Hands Out Hoagies and Reassurances in Storm-Battered Florida https://t.co/qmux8S8iCU https://t.co/LFsNYI08ah	informative
921440313771671552	Pocket Change for Puerto Rico! We raised $648.18 to send to our friends in PR. Our students have huge hearts! ❤️἟5἟7἟A἟8 https://t.co/FSC7EtUk43	informative
922464436102709249	New York Army National Guard Engineers Bring Construction Skills to Puerto Rico https://t.co/AJCOJnlLj0 https://t.co/MtQJWt8xGA	informative
910611807080996864	PHOTOS: Mexico hit by powerful earthquake for second time in two weeks: https://t.co/lW0EhgOfIR https://t.co/kHJgALdazI	informative
923410489069244416	Puerto Rico After Maria: Owning the Problem https://t.co/QHEVBDtdXC https://t.co/HCz5GPcUgT	informative
909767570240278529	Why Irma and Harvey Could Finally Get Republicans to Care About Climate Change https://t.co/z0WwQoA3i7 https://t.co/7YvHUp30uz	informative
905930890735439873	Some of the devastation from #Harvey friends and family who lost everything ὢ2 prayers neededὉ4 @DonnieWahlberg #BH❤ https://t.co/2rNeqYEEQJ	informative
905652347296198656	New 00Z GFS shows #Irma as intense hurricane just offshore of Miami Sunday A.M. #tropics https://t.co/A5HIjQafzO	informative
904477487131971584	Hurrican Harvey brings â€˜hellâ€™ to Texas residents https://t.co/niESl29oF5 #NewInVids https://t.co/7LzxhEcFRy	informative
930327732688490497	Earthquake death toll reaches 450; Iran battles to shelter survivors https://t.co/raXCBDDAMy https://t.co/cf4IFmc9cL	informative
913092121292410883	Families in #Tlalnepantla, #Morelos, Receive Govâ€™t Help after #MexicoEarthquake https://t.co/HoLpibRP8o https://t.co/TnHO17LHwg	informative
913145765157117952	Archdiocese of Mexico City offers free medical care to earthquake victims - https://t.co/kHdCXu0CmQ https://t.co/s3E8zoO5jT	informative
904677645836804096	"Hurricane ""Harvey"": the sum of losses from elements is sounded https://t.co/kCZtCrtjV3 https://t.co/dhSGLMqmtG"	informative
910162402108477440	"Hurricane Irma victims... ""Jesus saved us"" https://t.co/1zbpFwSD1p"	informative
871880350238203904	Relief Lifeline Extended as Cyclone Mora Leaves More Destruction in ItsÂ Wake https://t.co/WvDT3ZxguL https://t.co/AohFt7hmjc	informative
906058645158469633	Raising Funds to Put Rockport, Texas, Back Together After Hurricane Harvey https://t.co/1wOxRMvk5A	informative
920261480506953728	1990-2016 California wildfires mapped using Cal Fire FRAP data and @Esri ArcMap #dataviz #CaliforniaWildfires https://t.co/cuCD8pz2e1	informative
